,Age,Gender,City,yearsExperience,SeniorityLevel,salary,MainLanguage,CompanySize,CompanyType
0,43,M,München,11,Senior,77000,Deutsch,100-1000,Product
1,33,F,München,8,Senior,65000,Deutsch,50-100,Product
2,32,M,München,10,Senior,88000,Deutsch,1000+,Product
3,25,M,München,6,Senior,78000,English,1000+,Product
4,39,M,München,10,Senior,69000,English,100-1000,Ecom retailer
5,37,M,München,8,Senior,98000,Deutsch,1000+,Insurance
7,36,F,München,8,Senior,109000,English,1000+,
8,32,M,Berlin,3,Senior,65000,English,100-1000,Startup
9,30,M,München,8,Senior,60000,Deutsch,100-1000,Agency
10,40,M,Berlin,18,Senior,70000,English,100-1000,Product
11,33,M,Karlsruhe,8,Senior,70000,English,100-1000,Product
12,31,F,Berlin,0,Senior,55000,English,10-50,Startup
13,29,M,Berlin,6,Middle,55000,English,100-1000,Product
14,32,M,München,11,Middle,94500,Russian,1000+,Product
15,25,F,München,3,Junior,46000,English,100-1000,Startup
16,33,M,München,11,Senior,68000,Deutsch,1000+,Product
17,24,M,Hamburg,4,Middle,60000,English,1000+,Product
18,44,M,Berlin,17,Senior,62500,Deutsch,10-50,Agency
19,37,M,Berlin,19,Senior,80000,English,50-100,Startup
21,34,F,Berlin,10,Senior,53000,English,100-1000,Startup
22,28,M,München,5,Middle,52000,English,100-1000,Product
23,35,M,Berlin,10,Senior,95000,English,10-50,Consultancy
24,32,M,München,4,Senior,72000,English,1000+,Agency
25,40,F,München,15,Middle,55000,English,100-1000,Product
26,39,M,München,15,Senior,77000,English,100-1000,Product
27,38,M,München,12,Senior,72000,English,100-1000,Product
28,28,M,München,8,Senior,80000,English,50-100,Product
29,31,M,Berlin,5,Middle,66000,English,1000+,Product
30,39,M,Berlin,10,Middle,75800,Deutsch,1000+,Corporation
31,35,F,München,12,Senior,84000,English,100-1000,Startup
32,32,M,München,10,Senior,60000,English,50-100,Product
33,27,M,Augsburg ,4,Middle,57000,Deutsch,100-1000,Product
35,31,M,München,1,Junior,36000,English,50-100,Startup
36,31,M,München,10,Senior,70000,English,100-1000,Product
37,32,M,München,10,Senior,72000,English,100-1000,Product
38,35,M,München,5,Middle,75000,English,100-1000,Product
39,33,M,München,9,Middle,90000,Deutsch,1000+,Product
40,32,M,München,7,Senior,69000,English,100-1000,Product
43,30,M,München,7,Middle,75000,English,50-100,Product
44,24,F,München,3,Middle,57000,Russian,100-1000,Product
45,43,M,Berlin,10,Senior,84000,English,50-100,Product
46,28,M,München,6,Senior,70000,English,1000+,Product
47,29,M,Bremen,1,Junior,55000,Deutsch,10-50,Product
48,32,M,München,6,Senior,60000,English,100-1000,Product
49,31,M,Frankfurt,11,Senior,65000,English,100-1000,Product
